시설명,카테고리,시도 명칭,위도,경도,전화번호,홈페이지,휴무일,운영시간,장애인용 출입문,장애인 화장실 유무,장애인 전용 주차장 여부,시각장애인 안내견 동반 가능 여부,점자 가이드 여부
2001아울렛 구로 어린이 소극장,전시/공연,서울특별시,37.49807255,126.862677,02-2093-5093,2001gurohall.modoo.at,매주 월요일,10:00-22:00,Y,Y,Y,Y,Y
2012농어촌산업박람회,전시/공연,경기도,37.66893348,126.745803,,정보없음,정보없음,정보없음,N,N,N,N,N
2012명품병원의료관광전시회,전시/공연,경기도,37.66469545,126.742064,,정보없음,정보없음,정보없음,N,N,N,N,N
2012여수세계박람회재단,전시/공연,전라남도,34.75218956,127.746501,1577-2012,www.expo2012.kr/web/,정보없음,정보없음,N,N,Y,N,N
24시골프,레저/체육/공원,경기도,37.44850127,126.787247,,www.sjoy.co.kr/,정보없음,"매일 1층-스페셜조이피팅 12:00-24:00 , 2층-24스크린골프 10:00-21:00",N,N,N,N,N
29아트,전시/공연,경기도,37.5535257,127.194669,02-512-1029,www.29art.com/e/,정보없음,정보없음,N,N,N,N,N
3.15국립묘지,전시/공연,경상남도,35.25266875,128.587535,055-253-9315,www.mpva.go.kr/315/index.do,"매주 토요일, 공휴일",09:00-18:00 / 동절기(11월-2월) : 09:00-17:00,Y,Y,Y,Y,Y
3.15아트센터,전시/공연,경상남도,35.22581853,128.577106,055-286-0315,www.cwcf.or.kr/facility/facility_315art.asp,정보없음,정보없음,Y,Y,Y,N,Y
3.15의거발원지기념관,전시/공연,경상남도,35.20709,128.577275,055-245-3150,정보없음,매주 월요일,화-일 09:00-18:00,Y,Y,N,Y,Y
3.1순국기념관,전시/공연,경기도,37.12630809,126.891596,031-366-1604,www.jeam.or.kr/html/?pmode=main,매주 월요일,10:00-18:00 (입장마감: 17시),Y,Y,Y,Y,Y
3.1운동기념관,전시/공연,경기도,37.06278466,127.175295,031-678-2475,www.anseong.go.kr/tourPortal/41/main.do,매주 월요일,09:00-18:00 (17:00까지 입장),Y,Y,Y,Y,Y
3.1의거기념관,전시/공연,경상북도,36.25369793,129.355422,054-262-0513,정보없음,매주 월요일,09:00-18:00,N,N,N,N,N
30CUBE아쿠아,문화관광/명소,경상북도,35.86736822,129.214133,,정보없음,정보없음,정보없음,N,N,N,N,N
313아트프로젝트,전시/공연,서울특별시,37.59501819,126.989272,02-3446-3137,313artproject.com/,"매주 일요일, 월요일, 공휴일","화-토 10 am-6 pm, 전시 화-토 11 am-5 pm",Y,N,N,Y,N
360도CC,레저/체육/공원,경기도,37.30257197,127.739319,031-880-3600,www.360cc.co.kr/,연중무휴,TEE-OFF 일출 30분 후-일몰 5시간 이내,Y,Y,Y,Y,N
365계단,문화관광/명소,전라남도,35.36445864,126.396027,,정보없음,정보없음,정보없음,N,N,N,N,N
365세이프타운,문화관광/명소,강원도,37.1025746,129.025226,0507-1495-7915,www.taebaek.go.kr/365safetown/index.do,"매주 월요일, 공휴일",09:00-18:00 16시 이후 입장시 시간관계상 일부 체험관 이용 불가,Y,Y,N,Y,Y
38문화예술창작소,전시/공연,경기도,38.01616895,127.217375,,정보없음,정보없음,정보없음,N,N,N,N,N
3D공룡체험박물관,전시/공연,경기도,37.70844017,126.685174,,정보없음,정보없음,정보없음,N,N,N,N,N
3D과학체험관,전시/공연,경상남도,35.38987046,129.155758,055-392-5608,3d.yangsan.go.kr/,매주 월요일,"10:00-12:00, 13:00-15:00, 15:30-17:30, 점심시간(11:50-12:50)에는 입장이 불가능합니다.",Y,Y,Y,N,Y
3D블랙아트,전시/공연,서울특별시,37.547246,127.078304,,정보없음,정보없음,정보없음,Y,N,Y,N,N
3RDMUSEUM,전시/공연,서울특별시,37.55163429,126.919113,,www.thirdmuseum.com,매주 월요일,10:00-19:00,Y,N,N,Y,N
4.16기억전시관,전시/공연,경기도,37.32516183,126.821402,031-411-7372,www.416memory.org/,정보없음,09:00-18:00,N,N,Y,N,N
4.19국립묘지4.19기념관,전시/공연,서울특별시,37.64839067,127.009071,02-996-0419,www.mpva.go.kr/419/index.do,공휴일,월-금요일 근무일 09:00-17:00,Y,Y,Y,Y,Y
4.19혁명기념회관,전시/공연,서울특별시,37.56744493,126.967694,02-737-9556,정보없음,매주 일요일,월-토 08:00-22:00,Y,Y,Y,Y,Y
40계단거리,문화관광/명소,부산광역시,35.10338417,129.035636,051-600-4044,정보없음,정보없음,정보없음,N,N,N,Y,N
40계단문화관,전시/공연,부산광역시,35.10500721,129.03448,051-600-4046,https://url.kr/ltpdhr,매주 월요일,"평일(화-금) 10:00-18:00, 주말 10:00-17:00",Y,N,Y,Y,N
4차산업혁명체험센터,전시/공연,서울특별시,37.55467447,127.04049,02-2286-7811,sdfic.sd.go.kr/,"매주 토요일, 일요일, 공휴일",09:00-18:00,Y,Y,Y,Y,Y
4D무비카광주지사,문화관광/명소,경기도,37.42818857,127.237393,,정보없음,정보없음,정보없음,N,N,N,N,N
4EST수목원,문화관광/명소,전라남도,34.45491283,126.596928,061-533-7220,www.4est수목원.com/,정보없음,매일 09:00-19:00 동절기 9:00-17:00,N,N,N,N,N
5.18기념공원,레저/체육/공원,광주광역시,35.15574851,126.858584,062-376-5197,www.gwangju.go.kr/518/contentsView.do?pageId=maycenter59,정보없음,정보없음,N,N,Y,Y,N
5.18기념문화센터,전시/공연,광주광역시,35.15830536,126.857556,062-376-5197,www.gwangju.go.kr/518/contentsView.do?pageId=maycenter35,연중무휴,07:00-22:00,N,Y,Y,Y,N
5.18기념문화회관민주홀,전시/공연,광주광역시,35.15830536,126.857556,062-376-5197,www.gwangju.go.kr/518/contentsView.do?pageId=maycenter35,연중무휴,07:00-22:00,N,Y,Y,Y,N
5.18민주화운동기록관,전시/공연,광주광역시,35.14956323,126.916756,062-613-8204,518archives.go.kr/,"매주 월요일, 공휴일",09:00-18:00,Y,Y,Y,N,Y
5.18역사문화기록관,전시/공연,광주광역시,35.14835809,126.91873,062-225-0245,www.gwangju.go.kr/jeonil/,공휴일,09:00-19:00,N,N,N,N,N
55아트센터,전시/공연,전라남도,34.87622164,126.517796,061-281-5570,정보없음,정보없음,정보없음,N,N,N,N,N
5월5일공방,전시/공연,경기도,37.67271123,126.700633,,정보없음,정보없음,정보없음,N,N,N,N,N
6.25전쟁납북자기념관,전시/공연,경기도,37.88897896,126.743209,031-930-6000,www.abductions625.go.kr/index.do,"매주 월요일, 공휴일","3월-10월 : 09:30-17:30 (17:00분 입장 마감), 11월-2월 : 10:00-17:00 (16:30분 입장 마감)",Y,Y,Y,N,Y
6.25전쟁체험전시관,전시/공연,강원도,38.58407952,128.373679,033-682-6625,정보없음,연중무휴,"매일 09:00-16:20 봄, 가을, 매일 09:00-17:30 여름, 매일 09:00-15:50 겨울",Y,Y,Y,Y,N
63빌딩63스카이아트미술관,전시/공연,서울특별시,37.51966416,126.939909,02-789-5663,www.63art.co.kr/home/63ART/main.do,연중무휴,10:00-20:00,Y,Y,Y,Y,Y
63빌딩한화아쿠아플라넷,문화관광/명소,서울특별시,37.51966416,126.939909,1833-7001,www.aquaplanet.co.kr/index.do,정보없음,10:00-19:00 (입장마감 18:30),Y,Y,Y,N,N
6전단항공역사관,전시/공연,경상북도,35.99470352,129.412613,054-290-6227,정보없음,정보없음,매일 08:30-18:00,N,N,N,N,N
777레지던스,전시/공연,경기도,37.72426086,126.948172,031-8082-4246,www.yangju.go.kr/changucchin/contents.do?key=2019,매주 월요일,10:00-18:00,Y,N,Y,Y,N
77수족관,문화관광/명소,경상북도,36.02960372,129.367037,054-282-7755,정보없음,정보없음,정보없음,N,N,N,N,N
7PICTURES,전시/공연,서울특별시,37.56566354,126.927005,,정보없음,정보없음,정보없음,N,N,N,N,N
88CC,레저/체육/공원,경기도,37.30673267,127.160462,031-287-8811,www.88countryclub.co.kr/,정보없음,정보없음,Y,N,Y,N,N
9.81파크,문화관광/명소,제주특별자치도,33.39003694,126.366509,1833-9810,www.981park.com,정보없음,정보없음,Y,Y,Y,N,N
93뮤지엄,전시/공연,경기도,37.78979276,126.696331,031-948-6677,www.galleryfocus.co.kr/,매주 월요일,"동절기 09:00-17:00, 하절기 09:00-18:00",N,N,N,N,N
가경골프랜드,레저/체육/공원,충청북도,36.62599603,127.435186,043-238-7181,정보없음,정보없음,정보없음,N,N,N,N,N
가계해수욕장,문화관광/명소,전라남도,34.44637135,126.351805,061-540-6605,정보없음,정보없음,정보없음,N,N,N,Y,N
가나1아뜰리에,전시/공연,경기도,37.72666259,126.950087,0507-1352-5802,www.jhatelier.com/,매월 둘째주 금요일 제외하고 휴무,10:00-20:00,Y,N,Y,Y,N
가나미디어,전시/공연,서울특별시,37.57292514,127.00162,02-3477-9923,canaav.co.kr/skin_mw2/,정보없음,정보없음,N,N,N,N,N
가나아트,전시/공연,서울특별시,37.57499572,126.983939,0507-1362-1333,www.galleryinsaart.com/,매주 화요일,평일 10:00-19:00,N,N,N,Y,N
가나아트,전시/공연,서울특별시,37.61224471,126.975182,0507-1402-5011,www.ganaart.com/,정보없음,매일 10:00-19:00,Y,N,N,N,N
가나아트파크,전시/공연,경기도,37.72583554,126.949332,0507-1437-0500,www.artpark.co.kr,"매주 월요일, 공휴일","주말 및 공휴일, 11월-4월 10:00-18:00 (입장마감 17:00) , 5월-10월 10:00-19:00 (입장마감 18:00), 평일 10:30-18:00 (입장마감 17:00)",Y,Y,Y,Y,N
가나엔터프라이즈,전시/공연,광주광역시,35.15071637,126.83543,,gana2.com/,연중무휴,00:00-24:00,N,N,N,N,N
가는게해수욕장,문화관광/명소,전라남도,34.68778767,125.929008,,정보없음,정보없음,정보없음,N,N,N,N,N
가든골프,레저/체육/공원,강원도,37.30998467,127.91612,033-763-8660,정보없음,정보없음,정보없음,N,N,N,N,N
가든스테이지,전시/공연,부산광역시,35.19606181,129.213207,1661-2000,www.lotteworld.com,연중무휴,정보없음,Y,Y,Y,Y,Y
가람누리문화공원,레저/체육/공원,경기도,38.07855269,127.213971,,정보없음,정보없음,정보없음,Y,Y,Y,Y,N
가람리조트사계절썰매장,레저/체육/공원,강원도,37.83640294,128.018378,033-434-1080,garamvalley.co.kr/,정보없음,"토,일 10:30-16:30, 12:00-00-15:00 휴게시간, ,주중: 일반이용객 최소인원 10人 이상시 운영(사전문의)",Y,N,Y,N,N
가람문학관,전시/공연,전라북도,36.03531462,127.084481,063-832-1891,정보없음,"매주 월요일, 공휴일",09:00-18:00,Y,Y,Y,N,N
가람신작,전시/공연,충청북도,36.63659967,127.493922,043-222-5911,www.cbfc.or.kr/home/main.php,정보없음,정보없음,N,N,N,N,N
가람아트홀,전시/공연,부산광역시,35.12771884,129.092786,,garamarthall.modoo.at/,공연별 상이,공연일정에따라 유동적,N,N,N,N,N
가람유원지,문화관광/명소,경기도,37.96499735,127.432902,,kbs1.kr/h/garampsywj/mobile/index.htmm,정보없음,정보없음,N,N,N,Y,N
가람화랑,전시/공연,서울특별시,37.57428279,126.985614,0507-1332-6170,정보없음,정보없음,정보없음,N,N,N,Y,N
가리산자연휴양림,문화관광/명소,강원도,37.86589954,127.998813,033-435-6035,https://url.kr/fe1hy2,정보없음,정보없음,N,N,N,N,N
가리역터,문화관광/명소,전라남도,35.13223646,126.493184,,정보없음,정보없음,정보없음,N,N,N,N,N
가마골소극장,전시/공연,부산광역시,35.18835625,129.076123,051-723-0568,kamagol.modoo.at/,"매주 월요일, 공휴일",09:00-22:00,Y,N,N,N,N
가마기산성,문화관광/명소,충청북도,36.73478576,127.575417,,정보없음,정보없음,정보없음,N,N,N,Y,N
가마미해수욕장,문화관광/명소,전라남도,35.40356865,126.415154,061-356-1020,정보없음,정보없음,정보없음,N,N,N,N,N
가마섬,문화관광/명소,경기도,37.18829938,127.684176,,정보없음,정보없음,정보없음,N,N,N,N,N
가마터갤러리,전시/공연,경기도,37.60429952,127.393174,,정보없음,정보없음,정보없음,N,N,N,N,N
가마해안도로,문화관광/명소,제주특별자치도,33.30450761,126.810597,,정보없음,정보없음,정보없음,N,N,N,Y,N
가막유원지,문화관광/명소,전라북도,35.806548,127.515969,,정보없음,정보없음,정보없음,N,N,N,N,N
가배량성,문화관광/명소,경상남도,34.78167689,128.571558,055-639-3404,https://url.kr/nglsz6,연중무휴,상시개방,N,N,N,Y,N
가사동백숲해변,문화관광/명소,전라남도,34.41311053,126.952414,061-550-5423,정보없음,정보없음,정보없음,N,N,N,Y,N
가산골프,레저/체육/공원,경상북도,36.1014487,128.511674,054-975-5757,정보없음,연중무휴,매일 07:30-20:00,N,N,Y,N,N
가산골프랜드,레저/체육/공원,전라남도,35.33280206,126.947587,061-383-4488,정보없음,정보없음,06:00-20:00,N,N,N,N,N
가산박물관,전시/공연,충청북도,36.40466701,127.621897,043-733-9129,정보없음,정보없음,"평일 관람시간 09:00-18:00, 공휴일 관람시간 09:00-18:00",N,N,N,N,N
가산산성,문화관광/명소,경상북도,36.03477653,128.583024,054-979-6452,www.heritage.go.kr,연중무휴,상시개방,N,N,N,Y,N
가산산성대궐터,문화관광/명소,경상남도,35.54748329,128.508108,054-973-3321,정보없음,정보없음,정보없음,N,N,N,Y,N
가산수변공원,레저/체육/공원,경상남도,35.29501228,129.017836,055-379-8692,www.yssisul.or.kr/stms/ys/info,연중무휴,상시개방,Y,Y,Y,Y,N
가산오광대전수교육관,전시/공연,경상남도,35.08460555,128.040264,055-831-2727,정보없음,정보없음,정보없음,N,N,N,N,N
가산팜스테이,문화관광/명소,광주광역시,35.13022653,126.676577,,정보없음,정보없음,정보없음,N,N,N,N,N
가산화랑,전시/공연,경기도,37.34355388,127.127438,,정보없음,정보없음,정보없음,N,N,N,N,N
가섭산테마공원(2023년1월예정),문화관광/명소,충청북도,36.9596435,127.705664,,정보없음,정보없음,정보없음,N,N,N,N,N
가세해수욕장,문화관광/명소,강원도,37.53260054,129.097327,,정보없음,정보없음,정보없음,N,N,N,N,N
가스펠재즈,전시/공연,서울특별시,37.49998194,127.039705,02-553-5888,정보없음,정보없음,정보없음,Y,N,N,Y,N
가슴,전시/공연,경기도,37.78890931,126.695294,,정보없음,정보없음,정보없음,N,N,N,N,N
가시리문화센터,전시/공연,제주특별자치도,33.35360912,126.770882,,https://url.kr/sbnaur,정보없음,정보없음,Y,N,N,N,N
가시리창작지원센터,전시/공연,제주특별자치도,33.35275982,126.765437,070-8807-1305,정보없음,정보없음,정보없음,N,N,N,N,N
가시창작소,전시/공연,경기도,37.78106403,126.713987,,정보없음,정보없음,정보없음,N,N,N,N,N
가야공원유원지,문화관광/명소,부산광역시,35.14609828,129.028145,,정보없음,정보없음,정보없음,N,N,N,N,N
가야극장,전시/공연,서울특별시,37.56497574,126.959222,,정보없음,정보없음,정보없음,N,N,N,N,N
가야랜드,문화관광/명소,경상남도,35.25817158,128.902435,055-346-6000,gaya-land.com/,연중무휴,매일10:00-18:00 (입장마감 17:30),Y,Y,Y,Y,N
가야랜드눈썰매장,레저/체육/공원,경상남도,35.25817158,128.902435,055-346-6000,www.gaya-land.com/schedule/index.php,연중무휴,"월-금 10:00-17:30, 토,일 10:00-18:00",Y,N,Y,N,N
가야박물관,전시/공연,대구광역시,35.83676137,128.54342,053-560-3700,정보없음,정보없음,정보없음,N,N,N,N,N
가야산국립공원,레저/체육/공원,경상남도,35.80263958,128.096881,055-930-8000,https://url.kr/gd8lk7,상시변동,"계절별 탐방로별 입장 및 통제시간 상이, 시간은 홈페이지 참조",Y,Y,Y,Y,Y
가야역사문화센터(2023년9월예정),전시/공연,경상남도,35.17929234,128.798741,,정보없음,정보없음,정보없음,N,N,N,N,N
가야퍼블릭CC,레저/체육/공원,경상남도,35.27066419,128.892224,055-337-0091,www.gayacc.com/,연중무휴,예약에 따라 운영,N,N,Y,N,N
가얏고체험관,문화관광/명소,경상북도,35.7417615,128.260928,,정보없음,정보없음,정보없음,N,N,N,N,N
가양레포츠센터축구장,레저/체육/공원,서울특별시,37.55996013,126.86556,02-6229-6680,sports.seoul.go.kr/main/facilities/facilities_view.do?&ft_idx=764,공휴일,주중 :09:00-22:00/주말 :주말 06:00-22:00,Y,Y,Y,Y,Y
가야CC,레저/체육/공원,경상남도,35.28114514,128.895838,055-337-0091,www.gayacc.com/main_new.php,연중무휴,예약에 따라 운영,N,N,Y,N,N
가온스테이지,전시/공연,서울특별시,37.5531083,126.917526,0507-1347-8650,정보없음,정보없음,24시간 운영,Y,N,N,Y,N
가온아트홀,전시/공연,부산광역시,35.13820831,129.064915,1600-1602,https://url.kr/mw5efr,연중무휴,10:00-22:00,Y,N,Y,Y,N
가원미술관,전시/공연,경기도,37.42397285,126.999203,0507-1331-3730,정보없음,정보없음,정보없음,N,N,N,Y,N
가은역꼬마열차,문화관광/명소,경상북도,36.64952139,128.060485,054-572-5068,www.mgtpcr.or.kr/web/index.do,매주 월요일,매일 09:00-18:00,Y,Y,Y,Y,Y
가음아트홀,전시/공연,경상남도,35.209418,128.688789,,정보없음,정보없음,정보없음,Y,N,Y,Y,N
가의암,문화관광/명소,전라북도,35.95671665,127.760964,,정보없음,정보없음,정보없음,N,N,N,Y,N
가이아갤러리,전시/공연,서울특별시,37.5751462,126.983386,02-733-3373,www.galerie-gaia.net/,상시변동,"월-토 10:00-18:00, 일 11:00-17:00",N,N,N,Y,N
가일미술관,전시/공연,경기도,37.66041649,127.379434,031-584-4722,www.gailart.org/,"매주 월요일, 공휴일","하절기 10:00-19:00, 동절기 10:00-18:00",Y,N,N,Y,N
가족농원유원지,문화관광/명소,경기도,37.85181598,127.379368,,정보없음,정보없음,정보없음,N,N,N,Y,N
가족사랑전람,전시/공연,서울특별시,37.59166254,127.014818,070-4633-1840,정보없음,정보없음,정보없음,N,N,N,N,N
가좌골프스쿨,레저/체육/공원,인천광역시,37.49572958,126.686057,0507-1431-1239,정보없음,연중무휴,예약제,Y,N,N,N,N
가좌배드민턴경기장,레저/체육/공원,경기도,37.68619822,126.721681,031-921-6190,cafe.daum.net/bdmtgg,정보없음,정보없음,N,N,N,N,N
가지산도립공원,레저/체육/공원,경상북도,35.61743497,128.980784,055-356-5357,https://url.kr/63tb7u,연중무휴,24시개방,Y,Y,Y,Y,N
가진해수욕장,문화관광/명소,강원도,38.36604776,128.496529,033-680-3356,www.gwgs.go.kr/prog/tursmCn/tour/sub02_02/view.do?cntno=61,정보없음,"매년 하절기 7-8월 일반해변 06:00-24:00, 마을관리해변 06:00-22:00",N,N,N,Y,N
가천박물관,전시/공연,인천광역시,37.41847997,126.657603,032-833-4747,gcmuseum.org,"매주 월요일, 공휴일",09:00-17:00,Y,N,N,N,Y
가코마린,레저/체육/공원,경기도,37.60948977,126.784052,,정보없음,정보없음,주중 09:00-18:00,N,N,N,N,N
가톨릭갤러리현,전시/공연,광주광역시,35.1502428,126.86849,062-380-2200,www.kccei.com/,정보없음,정보없음,N,N,N,Y,N
가톨릭관동대학교강릉캠퍼스박물관,전시/공연,강원도,37.73732878,128.873705,033-649-7851,museum.cku.ac.kr/,"매주 토요일, 일요일, 공휴일",평일 09:00-17:00,N,N,N,N,N
가톨릭대학교박물관,전시/공연,서울특별시,37.58490098,127.004771,02-740-9707,museum.catholic.ac.kr/site/museum/sub.do?Key=154,공휴일,"월-금 10:00-12:40, 14:10-17:00",Y,Y,Y,Y,N
가톨릭목포성지역사박물관,전시/공연,전라남도,34.80058309,126.385437,061-276-8300,정보없음,"매주 월요일, 공휴일",화-일 10:00-17:00,N,N,N,N,N
가톨릭문화관,전시/공연,대구광역시,35.85131973,128.590969,053-476-6211,정보없음,정보없음,정보없음,N,N,N,N,N
가톨릭문화원,전시/공연,경상남도,35.20830896,128.577321,055-249-7016,정보없음,"매주 토요일, 일요일, 공휴일",08:30-17:30,Y,Y,Y,Y,N
가톨릭소극장,전시/공연,부산광역시,35.10435395,129.028573,051-462-1870,www.bccenter.or.kr/,"매주 토요일, 일요일, 공휴일",평일 09:00-17:00,Y,Y,Y,Y,Y
가톨릭영상체험캠프,문화관광/명소,경기도,37.40783152,127.748203,,정보없음,정보없음,정보없음,N,N,N,N,N
가평공설운동장,레저/체육/공원,경기도,37.82543108,127.506125,031-8078-8073,www.gpfmc.or.kr/sub3/sub3_2-1.php,정보없음,"조기 06:00-09:00, 주간 09:00-18:00-야간 18:00-22:00",Y,N,Y,Y,Y
가평군목공예영농조합전시관,전시/공연,경기도,37.8158679,127.498129,031-581-0550,정보없음,연중무휴,09:00-18:00,N,N,Y,N,N
가평레일파크,문화관광/명소,경기도,37.82897059,127.515854,031-582-7788,www.railpark.co.kr/,정보없음,"09:00-17:00, 12:20-13:30 휴게시간, 설날, 추석 당일 14:00 운영시작",N,N,Y,Y,N
가평리틀야구장,레저/체육/공원,경기도,37.8246218,127.504414,031-8078-8034,www.gpfmc.or.kr/sub3/sub3_10-4.php,정보없음,"조기 06:00-09:00, 주간 09:00-18:00-야간 18:00-22:00",Y,N,Y,Y,Y
가평무브베이스볼파크,레저/체육/공원,경기도,37.67733452,127.483826,031-8078-8034,정보없음,정보없음,"조기 06:00-09:00, 주간 09:00-18:00-야간 18:00-22:00",N,N,N,Y,N
가평문화창작공간,전시/공연,경기도,37.82188739,127.506334,0507-1373-7002,정보없음,공연별 상이,공연에 따라 다름,Y,N,N,Y,N
가평미술관,전시/공연,경기도,37.7869614,127.45473,,정보없음,정보없음,정보없음,N,N,N,N,N
가평베네스트GC,레저/체육/공원,경기도,37.7971308,127.305446,1577-9727,www.golfsamsung.com/,정보없음,정보없음,Y,N,Y,N,N
가평별빛누리글램핑,문화관광/명소,경기도,37.75386146,127.4064,0507-1436-3424,https://url.kr/q3bhcn,정보없음,입실 15:00퇴실 11:00,N,N,N,Y,N
가평수목원,문화관광/명소,경기도,37.78376769,127.322918,,정보없음,정보없음,정보없음,N,N,N,N,N
가평썰매장,레저/체육/공원,경기도,37.75548501,127.402402,031-8078-8048,www.gp4s.co.kr/,"매달 1번째 수, 목요일 정기 휴무",10:00-17:00,N,N,Y,N,N
가평종합운동장,전시/공연,경기도,37.82543108,127.506125,031-8078-8073,www.gpfmc.or.kr/sub3/sub3_2-1.php,정보없음,정보없음,Y,N,Y,Y,Y
가평탑랜드번지점프대,레저/체육/공원,경기도,37.80604214,127.526029,,정보없음,정보없음,정보없음,N,N,N,N,N
가평현암농경유물박물관,전시/공연,경기도,37.87934605,127.548121,031-581-0612,jat.invil.org/index.html?menuno=2194&lnb=40101,"매주 일요일, 공휴일",오전10시-오후5시(토요일 오전10시-오후1시) ,N,N,N,N,N
가회민화박물관,전시/공연,서울특별시,37.58150935,126.985229,02-741-0466,www.gahoemuseum.org/new/,매주 월요일,화요일-일요일 10:00-18:00,N,N,N,N,N
각산산성,문화관광/명소,경상남도,34.94417761,128.05344,055-831-2716,https://url.kr/bwsj6m,연중무휴,상시개방,N,N,N,Y,N
각산재,문화관광/명소,경상북도,35.60856825,128.841207,,정보없음,정보없음,정보없음,N,N,N,N,N
간동종합운동장,레저/체육/공원,강원도,38.05713589,127.800795,033-440-4551,https://url.kr/knmdf9,정보없음,정보없음,N,N,N,N,N
간동종합운동장축구장,레저/체육/공원,강원도,38.05713589,127.800795,,정보없음,정보없음,정보없음,N,N,N,N,N
간동종합운동장풋살장,레저/체육/공원,강원도,38.05716262,127.801432,,정보없음,정보없음,정보없음,N,N,N,N,N
간드락게스트하우스,전시/공연,제주특별자치도,33.48528887,126.543974,0507-1310-2025,정보없음,매주 월요일,매일 10:00-06:00,N,N,N,N,N
간송미술관,전시/공연,서울특별시,37.59446244,126.996239,02-744-7830,kansong.org/,정보없음,10:00-18:00,N,N,N,N,N
간송미술관,전시/공연,서울특별시,37.56804459,127.01089,02-744-7830,kansong.org/museum/,"매주 토요일, 일요일, 공휴일",10:00-18:00,Y,Y,Y,Y,Y
간송박물관,전시/공연,서울특별시,37.59446244,126.996239,02-744-7830,kansong.org/,"매주 토요일, 일요일, 공휴일",10:00-18:00,N,N,N,N,N
간월자연휴양림,문화관광/명소,울산광역시,35.5670949,129.056041,,정보없음,정보없음,정보없음,N,N,N,N,N
간절곶,문화관광/명소,울산광역시,35.35976614,129.361543,052-204-1000,정보없음,정보없음,정보없음,Y,Y,Y,Y,N
간절곶스포츠파크,문화관광/명소,울산광역시,35.37130892,129.336479,,정보없음,정보없음,정보없음,Y,N,N,Y,N
간현관광지,문화관광/명소,강원도,37.36520089,127.832401,033-733-1330,ganhyeon.wonju.go.kr/?gid=ganhyeon,정보없음,"동절기 : 09:00-17:00, 하절기 : 09:00-18:00",Y,Y,Y,Y,N
갈곡들소리보존회,전시/공연,전라남도,34.91880668,126.680824,,정보없음,정보없음,정보없음,N,N,N,N,N
갈골한과체험전시관,전시/공연,강원도,37.81231804,128.830532,033-647-5830,www.galgol-sanja.com/shop/experience/experience_intro.php?&,매주 일요일,"3월-10월 10:00-18:00, 11월-2월 10:00-17:00",Y,N,N,N,N
갈라산산림욕장,문화관광/명소,경상북도,36.50159719,128.752766,054-840-6453,정보없음,연중무휴,상시개방,N,N,Y,Y,N
갈매동도당굿전수관,전시/공연,경기도,37.62619191,127.118556,031-557-6383,www.gurimh.or.kr/bbs/content.php?co_id=culture_a,정보없음,정보없음,N,N,N,N,N
갈모봉산림욕장,문화관광/명소,경상남도,34.9700372,128.269889,055-670-2671,https://url.kr/mcowli,정보없음,정보없음,N,N,Y,N,N
갈목해수욕장,문화관광/명소,충청남도,36.07687947,126.632769,,정보없음,정보없음,정보없음,N,N,N,N,N
갈미도예공방,전시/공연,경기도,37.52130379,127.162508,0507-1434-1311,정보없음,매주 일요일,10:00-18:00,N,N,N,N,N
